,BU,CT,IE,Cs134,Cs137,Eu154,U235,Pu239
0,23,3102.5,1.5,1.88424083219819E-07,2.84566917879002E-05,2.69679813433217E-07,8.22522171634031E-05,0.000121476067501
1,30,7482.5,1.5,5.20168249685682E-09,2.79799245808655E-05,1.52985963215638E-07,5.42325572566305E-05,0.00012902660029
2,37,4197.5,1.5,1.45199693687987E-07,4.21499771616296E-05,4.17562528731865E-07,3.59841349105039E-05,0.000134992514145
3,52.5,6752.5,1.5,2.16965292708179E-08,4.9979226189458E-05,3.50484414413579E-07,1.50402501420245E-05,0.000145445609543
4,65.5,3102.5,1.5,8.08478210919765E-07,7.74388092788155E-05,9.6942317979626E-07,7.48810453458104E-06,0.000152838359631
5,30,91.25,1.6,4.63841694081471E-06,4.46352992585013E-05,7.77532100448014E-07,6.15403234287554E-05,0.000129928345245
6,34.5,8395,1.6,2.71624118536392E-09,3.01868876171812E-05,1.5011569350238E-07,4.75259853623482E-05,0.000133654186214
7,57,1368.75,1.6,3.42660361651213E-06,7.59309237451187E-05,1.25129574849322E-06,1.35365167615274E-05,0.000148671041607
8,57,5840,1.6,5.59338990804771E-08,5.7224184909055E-05,4.66071542695002E-07,1.35888359894115E-05,0.000148643804069
9,27.5,365,1.7,3.08790706111218E-06,4.02748433202162E-05,6.37972051142385E-07,8.0098420206549E-05,0.000128426787842
10,35,7847.5,1.7,4.55574059261689E-09,3.16746996946991E-05,1.7181072908398E-07,5.23717817097577E-05,0.000134991510437
11,46.5,8942.5,1.7,2.48735805627675E-09,3.87972156630181E-05,1.90403175772635E-07,2.75877308521199E-05,0.000142981084191
12,59.5,3011.25,1.7,7.96251684592367E-07,7.12445831121348E-05,9.07121405568088E-07,1.3636066711407E-05,0.000150575807944
13,69,0,1.7,1.49265327403358E-05,9.88690244415683E-05,2.01340259501913E-06,8.28861591879921E-06,0.000153276312875
14,22,0,1.8,2.90373875406948E-06,3.30913019608103E-05,4.77490315744394E-07,0.000121758621764,0.000120539544125
15,25.5,1277.5,1.8,1.16012736983286E-06,3.52881874632362E-05,4.59893268685747E-07,0.000100175469562,0.000127054363219
16,26.5,912.5,1.8,1.7327977866186E-06,3.74997135846502E-05,5.29825016639736E-07,9.47339573003523E-05,0.000128198386755
17,33,4745,1.8,7.13603005947803E-08,3.63836420446526E-05,3.12466586610326E-07,6.59608160877924E-05,0.000134213270087
18,41.5,10037.5,1.8,7.62128808328029E-10,3.24376701791896E-05,1.30322533184758E-07,4.12345752265645E-05,0.000140363154609
19,47,4015,1.8,2.34107824534528E-07,5.35110960085349E-05,5.70492650681161E-07,3.04507778332328E-05,0.000143916276119
20,52,2828.75,1.8,7.83136922917532E-07,6.34056189350734E-05,8.22049647800648E-07,2.32157392917567E-05,0.000146817626605
21,62.5,8212.5,1.8,6.87804608714419E-09,5.3582261986737E-05,2.99610775104532E-07,1.33723153739579E-05,0.000152502738238
22,30,1916.25,1.9,8.36280351381586E-07,3.97094102572973E-05,5.07645566666362E-07,8.68630440901851E-05,0.000132844577617
23,38,1277.5,1.9,2.15337518561199E-06,5.19298470601829E-05,8.09901114158842E-07,5.61107891156539E-05,0.000139108882434
24,53.5,8942.5,1.9,2.92233194107228E-09,4.42348036618602E-05,2.19836844358774E-07,2.43914997367572E-05,0.000148412808665
25,60.5,1186.25,1.9,4.22002555451605E-06,8.10200157713558E-05,1.37100182269368E-06,1.68026687660663E-05,0.000152071751921
26,33.5,10950,2,2.37102513185971E-10,2.49113875906117E-05,8.0074474374429E-08,7.99719871297953E-05,0.000136470519707
27,42,1277.5,2,2.4254257067081E-06,5.7064627799565E-05,9.10682513286478E-07,5.06086453634115E-05,0.000142603154497
28,43.5,1368.75,2,2.35387900927969E-06,5.86867070024351E-05,9.32409364204074E-07,4.67023160056911E-05,0.0001435108385
29,54,6387.5,2,3.09576495075891E-08,5.24380012777716E-05,3.90032393618273E-07,2.67856778131325E-05,0.000149329758953
30,55,2646.25,2,9.93495740299208E-07,6.76086861284335E-05,9.08677692101019E-07,2.53699250898907E-05,0.000149887448471
31,56,1277.5,2,3.59022668275634E-06,7.49948614715264E-05,1.25146635182496E-06,2.40576105262813E-05,0.000150428448657
32,63,4562.5,2,1.98674557633134E-07,6.79636755148268E-05,6.7676922005073E-07,1.67574308214044E-05,0.000153936298314
33,67,1095,2,5.22728817639055E-06,8.96687736058673E-05,1.5426931459686E-06,1.36173719692919E-05,0.000155893642228
34,21.5,2828.75,2.1,1.97723968104349E-07,2.70118094679826E-05,2.36070042227702E-07,0.000165212293199,0.000124203940056
35,49,638.75,2.1,5.46270267176982E-06,6.88667800104983E-05,1.25401431277852E-06,3.90510848236718E-05,0.000147326554534
36,63,10585,2.1,7.7649021566376E-10,4.64176135745528E-05,1.79067180800253E-07,1.89690560657233E-05,0.000154413095565
37,67,3650,2.1,4.96884096553506E-07,7.62635593290236E-05,8.78491802953668E-07,1.54066192028162E-05,0.000156327077237
38,20,9125,2.2,5.32430172169919E-10,1.69145080529553E-05,5.11924529435906E-08,0.000193533922559,0.000122354486384
39,21.5,2737.5,2.2,2.11540310587198E-07,2.71566327246085E-05,2.3764135565168E-07,0.000179539138945,0.000125019319375
40,43,5840,2.2,3.72326055268189E-08,4.37040245355853E-05,3.41242111108583E-07,5.97032949624967E-05,0.000144986683356
41,70,2098.75,2.2,2.18141611682241E-06,8.7616458296196E-05,1.28793217955485E-06,1.49238711868889E-05,0.000158437242276
42,23.5,4562.5,2.3,4.57767290248913E-08,2.6398125325377E-05,1.83820327773495E-07,0.000176265679368,0.000128897548561
43,29.5,5110,2.3,4.10918341716166E-08,3.18617907626002E-05,2.36760756475201E-07,0.000131024932382,0.000136109650376
44,29.5,5475,2.3,2.93672016721176E-08,3.11345434891859E-05,2.18422247414788E-07,0.000131028842674,0.000136106117348
45,44,182.5,2.3,6.98711992995184E-06,6.38838727806421E-05,1.2201243792048E-06,6.27576594604642E-05,0.000146561015337
46,49,10767.5,2.3,4.82357609660259E-10,3.62589235826303E-05,1.33816824290292E-07,4.86787975916935E-05,0.000149177297326
47,25.5,1916.25,2.4,5.96883185594255E-07,3.38012430953463E-05,3.75683842906509E-07,0.000173083460019,0.000132596749798
