Data_basis;Type_of_university;Subject_group;Reporting_country;Winter_semester;German_foreigner;Gender;Counting;Notes
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2007;Deutsch;männlich;465;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2007;Deutsch;weiblich;453;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2007;Ausländer;männlich;25;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2007;Ausländer;weiblich;24;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2008;Deutsch;männlich;436;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2008;Deutsch;weiblich;506;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2008;Ausländer;männlich;33;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2008;Ausländer;weiblich;30;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2009;Deutsch;männlich;470;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2009;Deutsch;weiblich;563;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2009;Ausländer;männlich;33;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2009;Ausländer;weiblich;32;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2010;Deutsch;männlich;446;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2010;Deutsch;weiblich;610;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2010;Ausländer;männlich;41;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2010;Ausländer;weiblich;34;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2011;Deutsch;männlich;486;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2011;Deutsch;weiblich;636;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2011;Ausländer;männlich;37;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2011;Ausländer;weiblich;33;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2012;Deutsch;männlich;482;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2012;Deutsch;weiblich;668;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2012;Ausländer;männlich;42;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2012;Ausländer;weiblich;37;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2013;Deutsch;männlich;504;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2013;Deutsch;weiblich;678;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2013;Ausländer;männlich;46;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2013;Ausländer;weiblich;48;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2014;Deutsch;männlich;491;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2014;Deutsch;weiblich;680;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2014;Ausländer;männlich;56;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2014;Ausländer;weiblich;52;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2015;Deutsch;männlich;500;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2015;Deutsch;weiblich;702;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2015;Ausländer;männlich;70;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2015;Ausländer;weiblich;55;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2016;Deutsch;männlich;497;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2016;Deutsch;weiblich;667;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2016;Ausländer;männlich;65;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2016;Ausländer;weiblich;63;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2017;Deutsch;männlich;507;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2017;Deutsch;weiblich;692;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2017;Ausländer;männlich;59;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2017;Ausländer;weiblich;55;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2018;Deutsch;männlich;506;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2018;Deutsch;weiblich;658;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2018;Ausländer;männlich;67;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2018;Ausländer;weiblich;76;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2019;Deutsch;männlich;510;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2019;Deutsch;weiblich;690;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2019;Ausländer;männlich;72;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Agrar-, Forst- und Ernährungswissenschaften und (ab WS2015/16 auch) Veterinärmedizin;Brandenburg;2019;Ausländer;weiblich;74;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2007;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2007;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2007;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2007;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2008;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2008;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2008;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2008;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2009;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2009;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2009;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2009;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2010;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2010;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2010;Ausländer;männlich;5;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2010;Ausländer;weiblich;2;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2011;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2011;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2011;Ausländer;männlich;13;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2011;Ausländer;weiblich;6;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2012;Deutsch;männlich;2;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2012;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2012;Ausländer;männlich;9;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2012;Ausländer;weiblich;2;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2013;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2013;Deutsch;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2013;Ausländer;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2013;Ausländer;weiblich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2014;Deutsch;männlich;0;
Anzahl;Fachhochschulen (ohne Verwaltungsfachhochschulen);Außerhalb der Studienbereichsgliederung;Brandenburg;2014;Deutsch;weiblich;0;
