eventNumber,centerX,centerY,rmsTransverse,hits,Idx
0,12.504206,10.805754,0.25837358,126,0
1,10.138637,8.6007227,0.91804272,211,1
2,11.193685,3.9294181,0.82932528,232,2
3,5.4451341,4.1270122,0.87913693,205,3
5,3.6854064,4.1571059,0.78397986,203,4
6,8.1838721,9.3749419,0.89893741,215,5
7,6.1974468,7.7994681,0.79882373,188,6
8,6.8192361,1.9555556,0.56429717,72,7
9,4.7572105,4.29,0.86755124,190,8
10,8.344398,7.1862551,0.75946219,245,9
11,9.1415171,8.0875855,0.8380291,117,10
12,5.5076238,9.1869059,0.84301872,202,11
13,1.2817308,7.1701923,0.44203434,143,12
14,4.5107783,3.0914151,0.68131958,212,13
15,13.050206,9.6033235,0.31889638,85,14
16,2.4766324,10.973002,0.68439121,219,15
17,6.7569333,2.3653667,0.29160075,150,16
18,7.3359239,5.4916304,0.83665126,184,17
20,12.399207,5.1497455,0.52327934,167,18
21,2.6405556,4.2647222,0.71341928,198,19
22,11.926803,9.1847356,0.66688956,208,20
23,4.4943844,3.4159422,0.8396091,199,21
24,5.8747818,11.153273,0.71788548,401,22
25,10.253645,7.4270561,0.53214271,214,23
26,7.6013235,2.9860294,0.51737694,187,24
27,5.1083621,8.1798276,0.13549811,58,25
28,13.2605,4.2405,0.12391252,5,26
29,7.7958913,5.034413,0.87196386,230,27
30,10.072139,9.860601,0.760509,208,28
31,13.150978,1.9668478,0.25195276,23,29
32,5.740075,6.48835,0.90721708,200,30
33,9.1880297,7.1243644,0.79555463,236,31
34,7.689974,12.497318,0.60387123,192,32
35,2.8483654,9.6477404,0.73069125,208,33
36,8.5768933,9.2431067,0.83188667,239,34
37,4.1312186,9.8028518,0.43332359,199,35
38,10.4505,11.177,0.74205562,220,36
39,11.226875,1.519375,0.45848326,40,37
40,9.5093062,10.185782,0.77499135,227,38
41,3.5260294,5.2345588,0.8088424,187,39
42,6.8719444,4.5800595,0.69931447,252,40
43,4.7776759,7.9132286,0.5467755,199,41
44,10.390371,6.6901238,0.66182672,202,42
45,11.283766,2.6566921,0.66411386,229,43
46,3.1186864,7.4273305,0.83844315,236,44
47,4.9673049,4.1025976,0.75343107,205,45
49,2.8093137,2.5984804,0.63204456,204,46
50,8.5571517,9.5334701,0.65541006,201,47
51,3.5856407,7.2761683,0.86534439,199,48
52,7.65875,1.47125,0.03674878,4,49
53,9.2210211,6.109777,0.83140308,213,50
54,12.85375,3.7275,0.44626446,88,51
55,9.4541593,11.844712,0.76890969,226,52
56,8.4030928,8.389201,0.8402699,194,53
57,3.6510833,10.846306,0.47964436,180,54
58,5.9971933,6.1891871,0.51776535,163,55
59,13.003023,6.9191279,0.44575665,86,56
60,11.304354,2.1860955,0.5906545,178,57
61,3.632881,7.213381,0.82028381,210,58
62,5.9707489,5.1677954,0.6722561,237,59
63,5.688165,6.3733621,0.79433612,203,60
64,4.0591667,1.8075,0.60901207,33,61
65,10.246847,10.946486,0.62398998,222,62
66,6.7008333,1.8047549,0.54777304,51,63
67,8.7007609,11.145205,0.70833795,207,64
68,11.983783,3.4661957,0.63354883,230,65
69,4.9997115,3.9309135,0.57256086,208,66
70,13.031667,5.8933333,0.37999125,66,67
71,8.7159413,3.916913,0.55479261,247,68
72,3.9580991,7.3528917,0.71908685,217,69
73,6.1732,4.7820667,0.23790776,150,70
74,3.2135104,6.4248834,0.93189221,193,71
75,10.26757,5.4945775,0.78135545,142,72
76,1.4269444,1.2252778,0.30860309,9,73
77,10.104202,10.401202,0.70011924,235,74
78,9.7531696,4.691942,0.57311217,224,75
79,6.9555357,8.0196173,0.87051425,196,76
80,6.5346693,10.927103,0.80943292,189,77
81,9.3232333,4.8623667,0.7843637,225,78
82,10.78899,5.3672596,0.68171707,104,79
83,6.4725917,7.052867,0.95190633,109,80
84,8.1147197,4.5883072,0.81406575,223,81
85,13.118722,9.6793889,0.40737155,45,82
86,9.80375,13.475,0.085604922,4,83
87,11.04125,5.9034836,0.80173885,244,84
88,11.007566,7.682107,0.67907805,229,85
89,4.9186692,12.949216,0.50746507,201,86
90,11.214989,7.0066333,0.68994302,225,87
91,3.9568269,7.237524,0.67958336,208,88
92,11.544844,5.7263839,0.75097491,224,89
93,9.2517857,1.9020833,0.61762224,84,90
94,5.8245,2.64825,0.67744237,20,91
95,9.3108032,10.893857,0.76951061,221,92
96,3.8225,1.8715278,0.60652455,36,93
97,10.43412,10.524754,0.79367611,213,94
98,6.1095222,10.075144,0.54139943,225,95
99,10.506463,2.2658245,0.64995877,188,96
100,8.9486336,7.5315486,0.88139294,247,97
101,5.9299645,4.6094431,0.65628518,211,98
102,7.2307258,9.1471083,0.75618106,217,99
103,2.2499695,8.4371341,0.77367282,164,100
104,8.3071154,5.8807692,0.90943864,104,101
105,8.3825746,12.267873,0.64296785,201,102
106,11.440399,4.5375,0.79067692,138,103
106,0.935,11.4565,0.14161114,10,104
107,8.5158333,1.3933333,0.316906,6,105
109,1.0942708,11.338021,0.36349889,48,106
110,9.1282741,4.5473954,0.71400618,239,107
111,9.4811726,12.079314,0.58658759,226,108
112,7.3134816,2.6823466,0.82484751,163,109
113,4.6865789,2.7913947,0.90467644,190,110
114,2.5678774,1.6775,0.54803172,53,111
115,9.9915234,10.512305,0.20772613,128,112
116,12.916026,6.4879737,0.42066024,95,113
117,4.8605905,6.9848618,0.8719716,199,114
119,1.147029,4.431087,0.33251905,138,115
120,11.31075,1.676125,0.58158989,40,116
121,9.4123253,5.0637227,0.82439256,229,117
122,4.8698707,10.052435,0.83092354,232,118
123,6.5940888,3.3650234,0.88992227,107,119
124,10.253554,7.9304821,0.83550728,223,120
125,10.40453,1.6813119,0.3898274,101,121
126,9.1403369,11.650443,0.71225579,141,122
127,10.669754,3.5590402,0.80997224,224,123
128,8.5451289,2.7066237,0.61710613,97,124
129,3.2567857,1.3344048,0.34512965,21,125
130,2.7796463,12.105768,0.68369237,205,126
131,2.4500882,2.0456765,0.60379869,170,127
132,2.8842051,4.3471544,0.73789562,217,128
133,7.219877,2.1995492,0.57348955,61,129
134,6.7317381,10.617357,0.78806592,210,130
135,3.305354,5.4878319,0.852181,226,131
136,7.8458171,6.5113293,0.89783093,205,132
137,10.105115,1.9181881,0.63891278,109,133
138,5.1522368,9.7590789,0.73329374,209,134
139,11.022098,6.2808036,0.76349351,224,135
140,4.5791474,2.738078,0.69010865,173,136
141,8.3477521,6.5221218,0.94748346,238,137
142,2.7017544,10.209013,0.6836157,228,138
143,7.6408491,5.7137736,0.82406538,212,139
144,7.2513398,2.9403729,0.87533479,181,140
145,10.59485,9.6606106,0.7816328,217,141
146,12.245639,7.9620516,0.63189226,223,142
147,7.8301847,8.9440025,0.79597653,203,143
148,7.0166848,3.8470109,0.85722818,184,144
149,12.096716,13.243097,0.37155966,134,145
150,7.2513806,4.0720522,0.70644909,201,146
151,6.2322076,7.577617,0.87196596,171,147
152,5.0498423,12.516712,0.47932339,222,148
153,12.6885,0.9625,0.21267275,5,149
155,4.6057212,3.5554327,0.80582345,208,150
156,5.8001596,1.8547872,0.55997602,94,151
157,10.759375,3.0576562,0.59642474,224,152
158,8.2320434,8.5298973,0.92126963,219,153
159,13.134,11.3575,0.22746829,10,154
159,1.9158333,10.349167,0.034725446,3,155
160,1.7144774,9.527274,0.51689525,177,156
161,4.9960294,3.3222059,0.8971353,187,157
162,8.5599093,7.309728,0.89896723,193,158
163,7.9372857,9.4560714,0.74953952,140,159
164,7.2879911,4.6553571,0.43393284,112,160
165,2.4233333,11.083889,0.56148642,198,161
166,7.8334524,8.7313095,0.85380567,231,162
167,11.612045,6.8215909,0.8655599,121,163
168,8.8810333,9.5865,0.8224514,225,164
169,9.8522235,3.62303,0.85422638,217,165
170,4.3514362,9.0671011,0.83312928,188,166
171,8.4598034,2.5009551,0.84204203,178,167
172,8.9982895,6.6125439,0.73267199,228,168
173,9.9596479,2.0760563,0.65975588,142,169
174,5.8925,4.3055,0.74908052,220,170
175,13.368929,5.3939286,0.16904446,14,171
176,7.807963,4.9084954,0.88388715,216,172
177,11.403434,3.2815659,0.73466749,91,173
178,10.835,2.2942857,0.62162706,84,174
179,13.4695,1.1165,0.056067422,5,175
180,4.4639641,7.6573066,0.60705944,181,176
181,12.675667,10.227861,0.59007182,180,177
182,10.369378,6.1982317,0.86656156,205,178
183,4.8321429,6.4444286,0.80175402,210,179
184,5.0634709,11.859175,0.47492084,206,180
185,10.828963,2.2923374,0.64498651,123,181
186,9.604375,5.0156944,0.81455982,216,182
187,9.3938065,5.2203015,0.94720631,398,183
188,5.5786085,4.724033,0.80534264,212,184
189,9.1595276,7.6109101,0.85135563,217,185
190,4.6377419,6.8353763,0.74767415,186,186
191,3.2344231,9.0470299,0.69184185,117,187
192,6.6047222,8.4641667,0.84218015,198,188
193,0.86166667,8.1125,0.095345109,6,189
194,9.9242473,5.1389516,0.8941363,186,190
195,7.2949038,1.7547115,0.56946112,52,191
196,5.1826422,8.9742536,0.82932666,211,192
197,1.5231545,12.813992,0.32162044,191,193
198,7.4842308,2.6490659,0.83461704,182,194
199,4.5335104,7.759987,0.88493855,193,195
200,9.3057353,4.2977941,0.90214207,187,196
201,2.67685,1.82325,0.64310036,100,197
202,12.800741,6.0983796,0.51799326,108,198
203,1.6928333,7.6878333,0.40068361,165,199
204,8.5097768,2.3949554,0.71538116,112,200
205,10.007031,8.9558333,0.83324061,213,201
206,8.3807547,11.06434,0.89134539,212,202
207,10.0075,1.6125,0.4316742,11,203
208,6.6977128,6.0423936,0.72028925,94,204
209,8.6075,8.642,0.85008335,220,205
210,8.92375,8.2152206,0.91223649,68,206
211,2.182663,2.4409239,0.68131766,92,207
212,6.6001316,4.0851316,0.89170899,209,208
213,3.6564423,10.588558,0.77994477,208,209
214,4.8541935,4.589543,0.79558974,186,210
215,3.8358571,5.6977381,0.89918046,210,211
216,3.926061,9.4649634,0.87149362,205,212
217,11.224316,7.5484417,0.8206501,223,213
218,9.900116,8.7323523,0.78768591,237,214
219,10.550766,7.9767251,0.70610429,271,215
220,3.6003744,10.445616,0.82461587,207,216
221,7.2562742,2.2303387,0.75219539,155,217
222,1.9178037,4.0345327,0.60946413,214,218
223,7.5985,9.19075,0.56479734,220,219
224,6.6275,5.4596393,0.73877648,201,220
225,8.1076542,3.8714427,0.86241765,227,221
226,10.625556,3.7338889,0.83843483,198,222
227,10.073144,3.5028863,0.7522774,233,223
228,12.414457,6.3131522,0.55629702,253,224
229,2.9458102,4.6984259,0.7229933,216,225
230,11.050459,9.631055,0.76129144,218,226
231,8.7379953,7.3492453,0.84740856,212,227
232,7.8765654,7.6465421,0.94728689,214,228
233,7.2263579,3.7217132,0.79916214,197,229
234,13.155431,10.775259,0.24706747,29,230
235,11.946738,2.3539329,0.62675397,164,231
236,8.8138198,11.277094,0.74301191,197,232
237,1.0155,7.4605,0.30514619,55,233
238,10.099725,8.1176271,0.9224606,236,234
239,7.43775,11.3925,0.63726164,220,235
240,10.549842,10.101171,0.65488359,222,236
241,9.8590196,6.5827451,0.76870627,204,237
242,5.2728902,6.3557195,0.5977521,205,238
243,3.5080128,5.0226282,0.64840348,195,239
244,6.2296845,8.8619417,0.93683737,206,240
245,3.7924485,8.2925258,0.70615069,194,241
